"No.","Time","Source","Destination","Protocol","Length","Info"
"336","38.649207","192.168.11.20","216.58.194.174","QUIC","77","Payload (Encrypted), PKN: 6, CID: 13314995951034321593"
"337","38.650678","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=65233 Ack=3891 Win=62464 Len=0 TSval=270164078 TSecr=596221467"
"338","38.692517","216.58.194.164","192.168.11.20","TLSv1.2","282","Application Data"
"339","38.692521","216.58.194.164","192.168.11.20","TLSv1.2","335","Application Data"
"340","38.692581","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3891 Ack=65449 Win=130848 Len=0 TSval=596221511 TSecr=270164120"
"341","38.692581","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3891 Ack=65718 Win=130560 Len=0 TSval=596221511 TSecr=270164120"
"342","38.692911","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
"343","38.692914","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"344","38.692957","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3891 Ack=65756 Win=131008 Len=0 TSval=596221511 TSecr=270164120"
"345","38.692958","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3891 Ack=65802 Win=130976 Len=0 TSval=596221511 TSecr=270164120"
"346","38.693137","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"347","38.697271","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=65802 Ack=3937 Win=62464 Len=0 TSval=270164124 TSecr=596221511"
"348","38.723981","Buffalo_75:d5:82","Apple_7d:13:71","ARP","42","Who has 192.168.11.20? Tell 192.168.11.1"
"349","38.724013","Apple_7d:13:71","Buffalo_75:d5:82","ARP","42","192.168.11.20 is at dc:a9:04:7d:13:71"
"350","38.897457","192.168.11.20","216.58.194.164","TLSv1.2","260","Application Data"
"351","38.901317","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=65802 Ack=4131 Win=64768 Len=0 TSval=270164329 TSecr=596221713"
"352","38.945036","216.58.194.164","192.168.11.20","TLSv1.2","284","Application Data"
"353","38.945042","216.58.194.164","192.168.11.20","TLSv1.2","419","Application Data"
"354","38.945143","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4131 Ack=66020 Win=130848 Len=0 TSval=596221760 TSecr=270164372"
"355","38.945143","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4131 Ack=66373 Win=130496 Len=0 TSval=596221760 TSecr=270164372"
"356","38.945418","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
"357","38.945423","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"358","38.945479","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4131 Ack=66411 Win=131008 Len=0 TSval=596221760 TSecr=270164372"
"359","38.945479","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4131 Ack=66457 Win=130976 Len=0 TSval=596221760 TSecr=270164372"
"360","38.945718","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"361","38.949755","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=66457 Ack=4177 Win=64768 Len=0 TSval=270164377 TSecr=596221760"
"362","39.013298","172.217.6.46","192.168.11.20","QUIC","969","Payload (Encrypted), PKN: 5"
"363","39.013303","172.217.6.46","192.168.11.20","QUIC","70","Payload (Encrypted), PKN: 6"
"364","39.013489","172.217.6.46","192.168.11.20","QUIC","179","Payload (Encrypted), PKN: 7"
"365","39.013682","192.168.11.20","172.217.6.46","QUIC","86","Payload (Encrypted), PKN: 7, CID: 7589620954702436015"
"366","39.039881","192.168.11.20","172.217.6.46","QUIC","77","Payload (Encrypted), PKN: 8, CID: 7589620954702436015"
"367","39.320181","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"368","39.334042","192.168.11.20","216.58.194.164","TLSv1.2","328","Application Data"
"369","39.339032","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=66457 Ack=4439 Win=67072 Len=0 TSval=270164766 TSecr=596222146"
"370","39.382432","216.58.194.164","192.168.11.20","TLSv1.2","284","Application Data"
"371","39.382439","216.58.194.164","192.168.11.20","TLSv1.2","471","Application Data, Application Data"
"372","39.382588","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4439 Ack=66675 Win=130848 Len=0 TSval=596222194 TSecr=270164810"
"373","39.382589","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4439 Ack=67080 Win=130432 Len=0 TSval=596222194 TSecr=270164810"
"374","39.382739","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"375","39.382799","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4439 Ack=67126 Win=131008 Len=0 TSval=596222194 TSecr=270164810"
"376","39.383307","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"377","39.387097","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=67126 Ack=4485 Win=67072 Len=0 TSval=270164814 TSecr=596222194"
"378","39.960440","192.168.11.20","192.168.11.1","DNS","64","Standard query 0xa2fd A pcap"
"379","39.972904","192.168.11.1","192.168.11.20","DNS","139","Standard query response 0xa2fd No such name A pcap SOA a.root-servers.net"
"380","39.987134","192.168.11.20","216.58.194.164","TLSv1.2","291","Application Data"
"381","39.990905","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=67126 Ack=4710 Win=69120 Len=0 TSval=270165418 TSecr=596222793"
"382","40.024030","192.168.11.20","216.58.194.164","TLSv1.2","219","Application Data"
"383","40.027824","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=67126 Ack=4863 Win=71424 Len=0 TSval=270165455 TSecr=596222829"
"384","40.069790","216.58.194.164","192.168.11.20","TLSv1.2","290","Application Data"
"385","40.069797","216.58.194.164","192.168.11.20","TLSv1.2","1215","Application Data"
"386","40.069888","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4863 Ack=67350 Win=130848 Len=0 TSval=596222873 TSecr=270165497"
"387","40.069889","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4863 Ack=68499 Win=129696 Len=0 TSval=596222873 TSecr=270165497"
"388","40.070019","216.58.194.164","192.168.11.20","TLSv1.2","104","Application Data"
